Family Name,Style Name,Width,Height,Aspect Ratio,x-height,Density,Slant,Curve,Serif,
Artifika,Medium,0.254947,0.320526,0.678882,0.250000,0.388879,0.155330,0.268389,0.055000,
Arvo,Bold Italic,0.306316,0.340947,0.645636,0.250000,0.507856,0.198597,0.326963,0.106000,
Arvo,Bold,0.268632,0.340211,0.664557,0.250000,0.563725,0.162976,0.318380,0.054000,
Arvo,Italic,0.280947,0.336421,0.654414,0.250000,0.372242,0.187084,0.288173,0.098000,
Arvo,Regular,0.246737,0.335684,0.693243,0.250000,0.416415,0.164951,0.291021,0.048000,
Arya,Bold,0.204842,0.286211,0.674100,0.240000,0.477770,0.161183,0.339483,0.030000,
Arya,Regular,0.195263,0.285895,0.686639,0.240000,0.431341,0.153112,0.309212,0.028000,
Asap,Bold Italic,0.236211,0.330526,0.668774,0.280000,0.498892,0.157112,0.269431,0.071000,
Asap,Bold,0.224316,0.330526,0.683106,0.280000,0.531583,0.144540,0.273558,0.045000,
Asap,Italic,0.221684,0.328211,0.695839,0.280000,0.351790,0.151930,0.198964,0.061000,
Asap,Regular,0.210526,0.328000,0.715767,0.280000,0.371036,0.138836,0.205184,0.035000,
Asar,Regular,0.224526,0.304526,0.693142,0.230000,0.336979,0.184988,0.271150,0.067000,
Asset,Regular,0.564737,0.336526,0.713876,0.260000,0.547396,0.103032,0.154431,0.151000,
Astloch,Bold,0.230632,0.355158,0.706387,0.390000,0.424396,0.179692,0.243984,0.201000,
Astloch,Regular,0.214947,0.354526,0.784358,0.400000,0.165539,0.333854,0.476398,0.118000,
Asul,Bold,0.254105,0.328632,0.667629,0.250000,0.439796,0.142170,0.253115,0.045000,
Asul,Regular,0.229684,0.326105,0.690901,0.240000,0.370428,0.132884,0.232583,0.041000,
Atomic Age,Regular,0.242737,0.345474,0.696752,0.260000,0.447381,0.120198,0.228587,0.068000,
Aubrey,Regular,0.164000,0.279368,0.720526,0.230000,0.389975,0.161799,0.309664,0.026000,
Audiowide,Regular,0.278421,0.323789,0.658880,0.270000,0.480265,0.137304,0.258538,0.042000,
Autour One,Regular,0.270737,0.364947,0.684979,0.310000,0.428884,0.149150,0.275114,0.046000,
Average,Regular,0.231579,0.319263,0.688113,0.240000,0.325864,0.168998,0.255038,0.096000,
Average Sans,Regular,0.207053,0.313158,0.707388,0.230000,0.388791,0.155735,0.239914,0.035000,
Averia Gruesa Libre,Regular,0.213158,0.299263,0.682069,0.240000,0.422592,0.174723,0.285708,0.063000,
Averia Libre,Bold Italic,0.235368,0.304316,0.655541,0.240000,0.424913,0.188357,0.299548,0.100000,
Averia Libre,Bold,0.215684,0.308842,0.682352,0.250000,0.511627,0.196822,0.348293,0.055000,
Averia Libre,Italic,0.227263,0.308316,0.667101,0.240000,0.362425,0.174016,0.245508,0.107000,
Averia Libre,Light Italic,0.222211,0.307474,0.674986,0.240000,0.325119,0.183396,0.261428,0.113000,
Averia Libre,Light,0.199158,0.296526,0.699426,0.240000,0.427965,0.201187,0.313718,0.058000,
Averia Libre,Regular,0.202842,0.308211,0.700572,0.250000,0.459358,0.195528,0.326214,0.055000,
Averia Sans Libre,Bold Italic,0.235158,0.311158,0.657971,0.250000,0.422208,0.181398,0.296952,0.086000,
Averia Sans Libre,Bold,0.206632,0.307895,0.691025,0.250000,0.529853,0.193178,0.377316,0.049000,
Averia Sans Libre,Italic,0.224211,0.313474,0.670302,0.250000,0.371268,0.173453,0.239208,0.081000,
Averia Sans Libre,Light Italic,0.216211,0.298526,0.675384,0.240000,0.322598,0.187510,0.270277,0.070000,
Averia Sans Libre,Light,0.190842,0.294947,0.703194,0.240000,0.426115,0.191929,0.316298,0.054000,
Averia Sans Libre,Regular,0.194000,0.307053,0.704636,0.250000,0.467788,0.195102,0.327145,0.052000,
Averia Serif Libre,Bold Italic,0.241579,0.301158,0.656798,0.230000,0.410281,0.195573,0.287455,0.129000,
Averia Serif Libre,Bold,0.234000,0.307789,0.675141,0.240000,0.483422,0.214787,0.359861,0.101000,
Averia Serif Libre,Italic,0.236632,0.304842,0.665954,0.230000,0.356206,0.183391,0.270411,0.120000,
Averia Serif Libre,Light Italic,0.232737,0.307895,0.672187,0.230000,0.320400,0.200810,0.274880,0.117000,
Averia Serif Libre,Light,0.220737,0.303895,0.695878,0.240000,0.401022,0.230399,0.349000,0.088000,
Averia Serif Libre,Regular,0.224632,0.304947,0.687209,0.240000,0.433068,0.220878,0.342943,0.094000,
Bad Script,Regular,0.247263,0.420421,0.700975,0.270000,0.209782,0.235779,0.310290,0.076000,
Baloo Bhaina,Regular,0.230211,0.295684,0.659835,0.250000,0.617964,0.179923,0.315406,0.039000,
Baloo Bhai,Regular,0.230211,0.295684,0.659835,0.250000,0.617964,0.179923,0.315406,0.039000,
Baloo Chettan,Regular,0.230211,0.295684,0.659835,0.250000,0.617964,0.179923,0.315406,0.039000,
Baloo Da,Regular,0.230211,0.295684,0.659835,0.250000,0.617964,0.179923,0.315406,0.039000,
Baloo Paaji,Regular,0.230211,0.295684,0.659835,0.250000,0.617964,0.179923,0.315406,0.039000,
Baloo,Regular,0.230211,0.295684,0.659835,0.250000,0.617964,0.179923,0.315406,0.039000,
Baloo Tamma,Regular,0.230211,0.295684,0.659835,0.250000,0.617964,0.179923,0.315406,0.039000,
Baloo Tammudu,Regular,0.230211,0.295684,0.659835,0.250000,0.617964,0.179923,0.315419,0.039000,
Baloo Thambi,Regular,0.230211,0.295684,0.659835,0.250000,0.617964,0.179986,0.315419,0.039000,
Balthazar,Regular,0.196737,0.280632,0.689769,0.200000,0.375250,0.200363,0.318400,0.068000,
Bangers,Regular,0.238526,0.351263,0.659633,0.380000,0.510616,0.173073,0.275603,0.097000,
Basic,Regular,0.213263,0.317895,0.698309,0.250000,0.449404,0.157870,0.305377,0.025000,
Battambang,Bold,0.080632,0.121263,0.635947,0.000000,0.194354,0.064384,0.126882,0.000000,
Battambang,Regular,0.074421,0.116842,0.646178,0.000000,0.158396,0.064303,0.131917,0.000000,
Baumans,Regular,0.205053,0.308842,0.692754,0.240000,0.423338,0.157829,0.295863,0.033000,
Bayon,Regular,0.237684,0.304632,0.649192,0.310000,0.227729,0.062265,0.191658,0.020000,
Belgrano,Regular,0.249789,0.333474,0.682255,0.260000,0.381009,0.156864,0.257586,0.074000,
Belleza,Regular,0.207895,0.306211,0.704391,0.230000,0.338067,0.183458,0.302094,0.034000,
BenchNine,Bold,0.143053,0.312000,0.771651,0.250000,0.482666,0.135624,0.277903,0.027000,
BenchNine,Light,0.129895,0.310947,0.811317,0.250000,0.356521,0.183167,0.359097,0.024000,
BenchNine,Regular,0.136211,0.310947,0.787731,0.250000,0.446963,0.145871,0.302304,0.029000,
Bentham,Regular,0.216526,0.278737,0.687932,0.190000,0.323134,0.240926,0.391172,0.065000,
Berkshire Swash,Regular,0.254632,0.344632,0.672472,0.270000,0.418700,0.186431,0.293257,0.119000,
Bevan,Regular,0.298737,0.344316,0.648641,0.260000,0.657469,0.141161,0.250715,0.055000,
Bhavuka,Regular,0.179158,0.245684,0.698732,0.210000,0.293949,0.251442,0.422211,0.031000,
Bigelow Rules,Regular,0.128105,0.306421,0.778256,0.250000,0.283008,0.251168,0.374454,0.056000,
Bigshot One,Regular,0.230632,0.277684,0.666006,0.230000,0.507738,0.174616,0.324431,0.064000,
Bilbo,Regular,0.214737,0.284526,0.669900,0.260000,0.202156,0.376003,0.502507,0.076000,
Bilbo Swash Caps,Regular,0.262421,0.297053,0.660627,0.240000,0.186559,0.393300,0.524817,0.114000,
Biryani,Black,0.261579,0.347579,0.669212,0.280000,0.602011,0.135700,0.272375,0.017000,
Biryani,Bold,0.246842,0.349579,0.685505,0.280000,0.527782,0.144283,0.301178,0.025000,
Biryani,ExtraBold,0.254947,0.348842,0.673976,0.280000,0.565999,0.144621,0.294606,0.026000,
Biryani,ExtraLight,0.214842,0.344526,0.758073,0.270000,0.323855,0.157368,0.270069,0.020000,
Biryani,Light,0.224211,0.343579,0.724234,0.270000,0.350897,0.133517,0.246389,0.024000,
Biryani,Regular,0.231684,0.351895,0.710458,0.280000,0.418694,0.131289,0.261829,0.024000,
Biryani,SemiBold,0.238526,0.348947,0.698003,0.280000,0.487893,0.142032,0.312563,0.020000,
Bitter,Bold,0.261053,0.337263,0.667170,0.270000,0.519721,0.152927,0.294347,0.073000,
Bitter,Italic,0.259789,0.331053,0.659073,0.270000,0.358845,0.157995,0.234647,0.107000,
Bitter,Regular,0.242947,0.328316,0.684275,0.270000,0.428675,0.163825,0.290076,0.061000,
Black Ops One,Regular,0.277579,0.300842,0.650024,0.260000,0.607629,0.132937,0.278343,0.046000,
BM HANNA_TTF,Regular,0.222316,0.305684,0.681526,0.230000,0.561556,0.178733,0.403000,0.015000,
Bokor,Regular,0.237684,0.304632,0.649192,0.310000,0.227934,0.062410,0.191881,0.020000,
Bonbon,Regular,0.261684,0.311474,0.679054,0.260000,0.296221,0.236991,0.356007,0.154000,
Boogaloo,Regular,0.198000,0.332526,0.704198,0.270000,0.513817,0.153905,0.280789,0.046000,
Bowlby One,Regular,0.306526,0.342947,0.651784,0.290000,0.688678,0.113883,0.243634,0.024000,
Bowlby One SC,Regular,0.308211,0.339579,0.639516,0.330000,0.698275,0.103302,0.202333,0.032000,
Brawler,Regular,0.253053,0.325263,0.686587,0.260000,0.366297,0.156328,0.262058,0.067000,
Bree Serif,Regular,0.230421,0.314211,0.673446,0.260000,0.470864,0.162011,0.294768,0.072000,
Bruno Ace,Regular,0.299053,0.328105,0.670057,0.280000,0.401986,0.137283,0.220696,0.032000,
Bruno Ace SC,Regular,0.299053,0.313263,0.665413,0.280000,0.418024,0.138672,0.226964,0.032000,
Bubblegum Sans,Regular,0.212000,0.314000,0.689994,0.280000,0.467345,0.176095,0.303574,0.071000,
Bubbler One,Regular,0.177368,0.310737,0.765268,0.260000,0.242262,0.251974,0.429321,0.030000,
Buda,light,0.199579,0.291474,0.723954,0.210000,0.286377,0.260162,0.409065,0.032000,
Buenard,Bold,0.232105,0.301263,0.673544,0.230000,0.424958,0.185129,0.306418,0.084000,
Buenard,Regular,0.219368,0.298842,0.688523,0.230000,0.348455,0.204900,0.295010,0.078000,
Butcherman Caps,Regular,0.251789,0.394105,0.676420,0.410000,0.506304,0.105141,0.165662,0.122000,
Butcherman,Regular,0.251789,0.394105,0.676420,0.410000,0.506304,0.105141,0.165662,0.122000,
Butterfly Kids,Regular,0.184211,0.267789,0.690473,0.170000,0.199770,0.374170,0.529835,0.113000,
Cabin,Bold Italic,0.234842,0.315684,0.660501,0.250000,0.451118,0.193193,0.358630,0.075000,
Cabin,Bold,0.225368,0.315684,0.687767,0.250000,0.504442,0.174147,0.375380,0.025000,
Cabin Condensed,Bold,0.196842,0.315684,0.703081,0.250000,0.527800,0.166292,0.365914,0.023000,
Cabin Condensed,Medium,0.193053,0.314421,0.712987,0.250000,0.467650,0.159994,0.337715,0.025000,
Cabin Condensed,Regular,0.191474,0.314000,0.716490,0.250000,0.424788,0.170475,0.315728,0.022000,
Cabin Condensed,SemiBold,0.194842,0.315368,0.708961,0.250000,0.505791,0.161425,0.352189,0.026000,
Cabin,Italic,0.226105,0.314105,0.671080,0.250000,0.367491,0.192019,0.279191,0.065000,
Cabin,Cabin Medium Italic,0.228632,0.314421,0.668570,0.250000,0.396749,0.190656,0.316062,0.066000,
Cabin,Cabin Medium,0.221053,0.314421,0.696960,0.250000,0.440795,0.168064,0.356505,0.026000,
Cabin,Regular,0.216947,0.314000,0.706733,0.250000,0.416910,0.176293,0.308626,0.019000,
Cabin,Cabin SemiBold Italic,0.231895,0.315474,0.663265,0.250000,0.426316,0.190950,0.345753,0.070000,
Cabin,Cabin SemiBold,0.222737,0.315368,0.691980,0.250000,0.478634,0.169845,0.360927,0.025000,
CabinSketch,Bold,0.226737,0.313368,0.674490,0.280000,0.340581,0.197073,0.228278,0.110000,
Cabin Sketch,Regular,0.207789,0.300632,0.687311,0.260000,0.339800,0.220152,0.288534,0.092000,
